Index,Time,debug_PWM_A,debug_PWM_B,debug_PWM_C,debug_IA,debug_IB,debug_IC,pos_estimate_debug,open_phase_debug,open_phase_vel_debug,open_Vd_debug,open_Vq_debug,alpha_debug,beta_debug,sectant_debug,cos_p_debug,sin_p_debug
59,0.297248,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
60,0.302239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
61,0.307254,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
62,0.312236,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
63,0.317258,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
64,0.322241,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
65,0.327250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
66,0.332233,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
67,0.337251,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
68,0.342231,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
69,0.347378,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
70,0.352234,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
71,0.357241,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
72,0.362246,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
73,0.367240,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
74,0.372257,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
75,0.377229,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
76,0.382247,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
77,0.387232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
78,0.392255,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
79,0.397242,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
80,0.402248,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
81,0.407240,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
82,0.412245,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
83,0.417239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
84,0.422256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
85,0.427238,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
86,0.432247,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
87,0.437233,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
88,0.442258,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
89,0.447251,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
90,0.452299,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
91,0.457232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
92,0.462239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
93,0.467248,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
94,0.472239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
95,0.477257,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
96,0.482235,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
97,0.487254,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
98,0.492232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
99,0.497257,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
100,0.502256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
101,0.507254,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
102,0.512236,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
103,0.517256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
104,0.522239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
105,0.527254,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
106,0.532235,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
107,0.537253,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
108,0.542231,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
109,0.547251,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
110,0.552231,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
111,0.557299,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
112,0.562240,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
113,0.567237,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
114,0.572248,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
115,0.577233,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
116,0.582249,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
117,0.587235,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
118,0.592254,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
119,0.597236,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
120,0.602247,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
121,0.607251,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
122,0.612245,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
123,0.617239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
124,0.622253,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
125,0.627235,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
126,0.632255,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
127,0.637241,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
128,0.642256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
129,0.647242,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
130,0.652255,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
131,0.657240,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
132,0.662256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
133,0.667255,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
134,0.672323,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
135,0.677241,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
136,0.682232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
137,0.687255,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
138,0.692233,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
139,0.697252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
140,0.702234,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
141,0.707256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
142,0.712239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
143,0.717246,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
144,0.722257,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
145,0.727252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
146,0.732231,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
