Index,Time,debug_PWM_A,debug_PWM_B,debug_PWM_C,debug_IA,debug_IB,debug_IC,pos_estimate_debug,open_phase_debug,open_phase_vel_debug,open_Vd_debug,open_Vq_debug,alpha_debug,beta_debug,sectant_debug
210,1.051156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,1.056147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,1.061161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,1.066138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,1.071154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,1.076144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,1.081155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,1.086146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,1.091154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,1.096144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,1.101157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,1.106149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,1.111138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,1.116155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,1.121159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,1.126161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,1.131146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,1.136155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,1.141140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,1.146153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,1.151138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,1.156157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,1.161143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,1.166154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,1.171144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,1.176161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,1.181150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,1.186164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,1.191138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,1.196157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,1.201143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,1.206153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,1.211139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,1.216162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,1.221148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,1.226252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,1.231144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,1.236149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,1.241154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,1.246146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,1.251155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,1.256146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,1.261153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,1.266141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,1.271157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,1.276146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,1.281157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,1.286161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,1.291159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,1.296150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,1.301157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,1.306149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,1.311156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,1.316150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,1.321161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,1.326148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,1.331157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,1.336145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,1.341170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,1.346154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,1.351137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,1.356157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,1.361145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,1.366157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,1.371146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,1.376159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,1.381147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,1.386159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,1.391144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,1.396165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,1.401161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,1.406154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,1.411140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,1.416156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,1.421141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,1.426161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,1.431139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,1.436160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,1.441149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,1.446160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,1.451136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,1.456156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,1.461140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,1.466169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,1.471161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,1.476137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,1.481155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,1.486143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,1.491160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,1.496140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1.501164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1.506164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,1.511160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,1.516139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,1.521166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1.526141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,1.531159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,1.536148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,1.541163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,1.546140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1.551164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,1.556144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,1.561161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,1.566142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,1.571161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,1.576140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,1.581203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,1.586141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,1.591139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,1.596157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,1.601142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,1.606156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,1.611141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,1.616164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,1.621140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,1.626153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,1.631142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,1.636159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,1.641149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,1.646161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,1.651147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,1.656155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,1.661141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,1.666152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,1.671159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,1.676158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,1.681144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,1.686155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,1.691143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,1.696349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,1.701138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,1.706143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,1.711163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,1.716139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,1.721156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,1.726164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,1.731156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,1.736146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,1.741165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,1.746140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,1.751166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,1.756144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,1.761155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,1.766147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,1.771157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,1.776156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,1.781164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,1.786139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,1.791163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,1.796139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,1.801164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,1.806141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,1.811160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,1.816147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,1.821237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,1.826146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,1.831157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,1.836165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,1.841141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,1.846158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,1.851144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,1.856159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,1.861145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,1.866153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,1.871139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,1.876156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,1.881142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,1.886154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,1.891143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,1.896160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,1.901149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,1.906157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,1.911146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,1.916161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,1.921146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,1.926154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,1.931140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,1.936179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,1.941146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,1.946154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,1.951164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,1.956143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,1.961165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
